09:48:26.614183 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 1, length 64
09:48:27.614367 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 2, length 64
09:48:28.614693 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 3, length 64
09:48:29.614749 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 4, length 64
09:48:30.615064 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 5, length 64
09:48:31.616205 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 6, length 64
09:48:32.616053 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 7, length 64
09:48:33.615967 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 8, length 64
09:48:34.615996 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 9, length 64
09:48:35.615854 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 10, length 64
09:48:36.615862 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 11, length 64
09:48:37.615606 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 12, length 64
09:48:38.615993 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 13, length 64
09:48:39.615897 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 14, length 64
09:48:40.615870 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 15, length 64
09:48:41.615848 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 16, length 64
09:48:42.615857 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 17, length 64
09:48:43.616030 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 18, length 64
09:48:44.615869 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 19, length 64
09:48:45.615888 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 20, length 64
09:48:46.615847 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 21, length 64
09:48:47.615838 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 22, length 64
09:48:48.615828 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 23, length 64
09:48:49.616043 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 24, length 64
09:48:50.616071 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 25, length 64
09:48:51.616011 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 26, length 64
09:48:52.615797 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 27, length 64
09:48:53.615645 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 28, length 64
09:48:54.615656 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 29, length 64
09:48:55.615669 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 30, length 64
09:48:56.616010 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 31, length 64
09:48:57.616082 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 32, length 64
09:48:58.615927 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 33, length 64
09:48:59.616013 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 34, length 64
09:49:00.616076 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 35, length 64
09:49:01.616536 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 36, length 64
09:49:02.616912 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 37, length 64
09:49:03.617067 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 38, length 64
09:49:04.616754 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 39, length 64
09:49:05.616891 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 40, length 64
09:49:06.616777 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 41, length 64
09:49:07.616681 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 42, length 64
09:49:08.616685 IP localhost.localdomain > 192.168.0.3: ICMP echo request, id 14730, seq 43, length 64

(?= IP)(.*).*(?=>)
